;;Estabelecimentos;;Taxa de Crescimento (2023-2025);Vinculos formais ;;Taxa de Crescimento (2023-2025)
Cod.;CNAE 2.0 Grupo - BAHIA;2023;2025;;2023;2025;
60;Extração de Petróleo e Gás Natural;23;19;-17,39%;2.526;3.209;27%
71;Extração de Minério de Ferro;10;10;0,00%;374;288;-23%
72;Extração de Minerais Metálicos Não-Ferrosos;35;35;0,00%;7.987;8.106;1%
81;Extração de Pedra, Areia e Argila;358;406;13,41%;4.166;4.843;16%
89;Extração de Outros Minerais Não-Metálicos;66;77;16,67%;2.149;2.526;18%
91;Atividades de Apoio à Extração de Petróleo e Gás Natural;31;36;16,13%;2.786;2.480;-11%
99;Atividades de Apoio à Extração de Minerais, Exceto Petróleo e Gás Natural;20;19;-5,00%;368;257;-30%
101;Abate e Fabricação de Produtos de Carne;133;140;5,26%;11.278;13.690;21%
102;Preservação do Pescado e Fabricação de Produtos do Pescado;21;23;9,52%;707;741;5%
103;Fabricação de Conservas de Frutas, Legumes e Outros Vegetais;196;220;12,24%;2.909;3.227;11%
104;Fabricação de óleos e Gorduras Vegetais e Animais;37;37;0,00%;1.540;1.654;7%
105;Laticínios;364;410;12,64%;5.176;5.773;12%
106;Moagem, Fabricação de Produtos Amiláceos e de Alimentos para Animais;201;205;1,99%;5.723;6.609;15%
107;Fabricação e Refino de Açúcar;6;6;0,00%;3.101;3.002;-3%
108;Torrefação e Moagem de Café;95;98;3,16%;970;976;1%
109;Fabricação de Outros Produtos Alimentícios;1.847;2.107;14,08%;18.077;20.366;13%
111;Fabricação de Bebidas Alcoólicas;58;65;12,07%;2.728;2.967;9%
112;Fabricação de Bebidas Não-Alcoólicas;55;60;9,09%;3.798;4.350;15%
121;Processamento Industrial do Fumo;3;2;-33,33%;882;671;-24%
122;Fabricação de Produtos do Fumo;14;13;-7,14%;375;386;3%
131;Preparação e Fiação de Fibras Têxteis;54;52;-3,70%;2.059;2.566;25%
132;Tecelagem, Exceto Malha;18;19;5,56%;4.450;4.840;9%
133;Fabricação de Tecidos de Malha;6;7;16,67%;265;301;14%
134;Acabamentos em Fios, Tecidos e Artefatos Têxteis;54;69;27,78%;397;369;-7%
135;Fabricação de Artefatos Têxteis, Exceto Vestuário;176;202;14,77%;2.550;3.117;22%
141;Confecção de Artigos do Vestuário e Acessórios;842;898;6,65%;9.806;9.978;2%
142;Fabricação de Artigos de Malharia e Tricotagem;12;15;25,00%;2.361;2.697;14%
151;Curtimento e Outras Preparações de Couro;15;12;-20,00%;781;823;5%
152;Fabricação de Artigos para Viagem e de Artefatos Diversos de Couro;121;117;-3,31%;1.779;1.972;11%
153;Fabricação de Calçados;90;101;12,22%;40.107;41.722;4%
154;Fabricação de Partes para Calçados, de Qualquer Material;13;18;38,46%;857;706;-18%
161;Desdobramento de Madeira;67;70;4,48%;423;541;28%
162;Fabricação de Produtos de Madeira, Cortiça e Material Trançado, Exceto Móveis;260;275;5,77%;2.118;2.152;2%
171;Fabricação de Celulose e Outras Pastas para a Fabricação de Papel;4;4;0,00%;3.737;3.712;-1%
172;Fabricação de Papel, Cartolina e Papel-Cartão;6;7;16,67%;619;658;6%
173;Fabricação de Embalagens de Papel, Cartolina, Papel-Cartão e Papelão Ondulado;78;87;11,54%;2.145;2.346;9%
